WEBSITE,PRODUCT,PRICE
amazon,"Lenovo Legion 5 10th Gen Intel Core i5 15.6"" (39.62cm) FHD IPS Gaming Laptop (8GB/512GB SSD/Windows 10/120 Hz/NVIDIA GTX 1650 4GB GDDR6/with M300 RGB Gaming Mouse/Phantom Black/2.3Kg), 82AU00KLIN ",95990
vijay,"Lenovo Legion 5 Gaming Laptop (10th Gen Intel Core i5 Processor / 8 GB RAM / 1 TB HDD + 256 GB SSD / 15.6"" FHD Display / 4GB NVIDIA Graphics / Win 10)",93999
flipkart,Lenovo Core i5 10th Gen - (16 GB/1 TB HDD/256 GB SSD/Windows 10/4 GB Graphics/NVIDIA GeForce GTX GTX 1...,86500
amazon,"Lenovo Legion 5 10th Gen Intel Core i7 15.6"" FHD Gaming Laptop (8GB/1TB HDD + 256GB SSD/Win10/Office2019/120 Hz/NVIDIA GTX 1650 4GB GDDR6/with M300 RGB Gaming Mouse/Phantom Black/2.3Kg), 82AU004QIN ",81900
flipkart,Lenovo Legion 5 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce GTX 1...,76990
vijay,"Lenovo Legion 5 Laptop (AMD Ryzen 5 Processor / 8 GB RAM / 1 TB HDD + 256 GB SSD / 15.6"" FHD Display / 4 GB NVIDIA Graphics / Windows 10 / MSO)",75999
vijay,"Lenovo Legion 5 Gaming Laptop (10th Gen Intel Core i5 Processor / 8 GB RAM / 1 TB HDD + 256 GB SSD / 15.6"" FHD Display / 4GB NVIDIA Graphics / Win 10)",74299
flipkart,Lenovo Legion 5 Core i5 10th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeFo...,72990
flipkart,Lenovo Legion 5 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce GTX 1...,71990
vijay,"Lenovo Legion 5 Laptop (AMD Ryzen 5 Processor / 8 GB RAM / 1 TB HDD + 256 GB SSD / 15.6"" FHD Display / 4 GB NVIDIA Graphics / Windows 10 / MSO)",71799
amazon,"(Renewed) Lenovo Legion 5 AMD Ryzen 5 4600H 15.6 inch Full HD Gaming Laptop (8GB/1TB HDD + 256GB SSD/Windows 10/120 Hz/NVIDIA GTX 1650 4GB GDDR6 Graphics/Phantom Black/2.3Kg), 82B500BHIN ",70990
amazon,"Lenovo Legion 5 10th Gen Intel Core i5 15.6 inch (39.62 cms) Full HD IPS Gaming Laptop (8GB/1TB HDD + 256GB SSD/Windows 10/120 Hz/NVIDIA GTX 1650 4GB GDDR6 Graphics/Phantom Black/2.3Kg), 82AU00KEIN ",70788
amazon,"Lenovo Legion5 AMD Ryzen5 4600H 15.6"" FHD Gaming Laptop (8GB/1TB HDD/256GB SSD/Win10/120 Hz/GTX 1650 4GB GDDR6) 82B500BHIN+Legion H300 Stereo Gaming Headset+Lenovo Ideapad M100 RGB GamingMouse 3200DPI ",69990
flipkart,Lenovo Legion 5 Ryzen 5 Hexa Core 4600H - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForc...,66990
vijay,"Lenovo Legion 5 Laptop (10th Gen Core i7 Processor / 8 GB RAM / 1 TB HDD + 256 GB SSD / 15.6"" FHD Display / 4 GB NVIDIA Graphics / Windows 10 / MSO)",7990
